open,high,low,close,volume
165.09,165.39,164.03,165.23,41516200
164.59,166.32001,163.82001,165.21001,49386500
161.63,165.8,161.42,165.56,68445600
161.22,162.06,159.78,160.10001,50133100
162.35001,162.36,160.50999,160.8,47644200
161.42,162.03,160.08,162.03,47716900
162.42999,164.96001,162.0,164.66,45390100
164.74001,165.05,161.8,163.75999,51511700
166.60001,166.84,165.11,165.63,46278300
164.27,166.28999,164.22,166.17,56976200
162.44,165.0,161.91,164.89999,68749800
161.53,162.47,161.27,162.36,49501700
159.37,161.05,159.35001,160.77,51305700
157.97,158.49001,155.98,157.64999,45992200
159.94,160.77,157.87,158.28,52390300
158.86,160.34,157.85001,160.25,59196500
158.83,161.55,157.67999,158.92999,67622100
159.3,162.14,157.81,157.83,75701800
157.32001,159.39999,156.53999,159.28,73938300
155.07001,157.82001,154.14999,157.39999,73641400
156.08,156.74001,154.28,155.0,98944600
152.16,156.46001,151.64,155.85001,76161100
151.19,153.25,149.92,152.99001,77167900
151.28,153.39999,150.10001,152.59,73695900
147.81,153.14,147.7,150.47,84457100
150.21001,150.94,147.61,148.5,68572400
153.56,154.53999,150.23,150.59,53833600
152.81,153.47,151.83,152.87,47204800
153.7,154.03,151.13,151.60001,56182000
153.78999,156.3,153.46001,153.83,87558000
148.03999,151.11,147.33,151.03,70732300
144.38,146.71001,143.89999,145.91,52238100
146.83,147.23,145.00999,145.31,55479000
147.05,149.08,146.83,147.41,50547000
147.71001,149.17,147.45,147.92,44998500
147.11,147.19,145.72,146.71001,55469600
150.09,150.34,147.24001,149.39999,48394200
148.87,149.95,147.16,148.91,51011300
150.2,151.3,148.41,148.48,58867200
152.35001,153.0,150.85001,152.55,59144100
153.50999,156.33,153.35001,153.71001,68167900
153.11,155.5,152.88,155.33,65573800
152.12,153.77,150.86,153.2,61707600
150.95,154.25999,150.92,153.85001,62199000
149.46001,151.34,149.22,151.00999,57450700
153.78,154.33,150.42,150.87,56007100
153.88,154.58,151.17,151.92,64120100
150.64,155.23,150.64,154.64999,83322600
152.57001,153.10001,150.78,151.73,69858300
148.03,157.38,147.83,154.5,154357300
148.89999,151.17999,148.17,150.82001,118339000
143.97,146.61,141.32001,145.42999,77663600
142.7,144.34,142.28,144.28999,65874500
144.96001,145.55,142.85001,143.0,64015300
143.16,147.23,143.08,145.92999,70555800
143.17,144.25,141.89999,143.96001,54105100
140.89,142.42999,138.81,141.86,65799300
140.31,143.16,140.3,142.53,66435100
138.12,143.32001,137.89999,141.11,81760300
135.28,138.02,134.22,137.87,80223600
134.08,136.25,133.77,135.27,58280400
136.82001,138.61,135.03,135.21001,69672800
134.83,137.28999,134.13,135.94,63646600
132.03,134.92,131.66,134.75999,57809700
133.88,134.25999,131.44,133.41,71379600
131.25,133.50999,130.46001,133.49001,69458900
130.25999,131.25999,128.12,130.73,63896200
130.47,133.41,129.89,130.14999,70790800
126.01,130.28999,124.89,129.62,87754700
127.13,127.77,124.76,125.02,80962700
126.89,128.66,125.08,126.36,89113600
130.28,130.89999,124.17,125.07,112117500
128.41,129.95,127.43,129.92999,77034200
127.99,130.48,127.73,129.61,75703700
129.67,131.03,125.87,126.04,85438400
131.38,131.41,128.72,130.03,69007800
130.92,132.42,129.64,131.86,63814900
134.35001,134.56,130.3,132.23,77852100
132.98,136.81,132.75,135.45,85928000
131.39,133.25,129.89,132.3,77432800
135.11,135.2,131.32001,132.37,79592600
136.69,137.64999,133.73,134.50999,160156900
141.11,141.8,136.03,136.5,98931900
145.35001,146.66,141.16,143.21001,82291200
149.5,149.97,144.24001,145.47,93886200
142.7,144.5,141.06,144.49001,70462700
142.34,145.57001,140.89999,142.16,76097000
142.36,143.52,141.10001,142.64999,62128300
